Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2011-08-04,2507.551786367961,2262.75941479017,2185.182948667111,2508.6783518958605,2531.4404932896837
2011-08-05,2278.3390420701667,554.1502916054395,2064.594234104999,2484.1578037819468,2499.378571179835
2011-08-08,2273.6808510435267,729.7662357822467,2171.065550060047,2499.9121914552456,2530.807819822524
2011-08-09,2009.1670356033112,1133.2258886007717,2254.4221097545633,2493.5390428296873,2506.0060019142325
2011-08-10,2500.241871485616,1889.1614280529177,2412.544714622182,2497.231472828466,2500.3968651307787
2011-08-11,2510.364089925019,1519.9033972189663,2401.1598687833475,2501.7197819125217,2511.0860070604444
2011-08-12,2358.1264342589825,1748.5838068246721,2455.698230903964,2484.8248672279265,2521.403216541076
2011-08-16,2201.8905935273256,1994.0635344630366,2488.0382864012613,2510.76897637542,2518.025504701818
2011-08-17,2225.886212547548,2245.3832232839527,2485.132287322169,2491.1950671912705,2499.2339707507062
2011-08-18,2250.0844015937346,2354.4648659213963,2510.3723485733726,2396.3825212755446,2411.373098238997
2011-08-19,2080.5698586015146,2155.5473177400227,2443.622907402007,2080.348373298857,2134.7162501719395
2011-08-22,2016.1859382540208,2037.2142010693456,2503.3101944055534,2183.2057397255403,2114.5899500050346
2011-08-23,2057.8170652142126,2012.2159798125122,2501.2631952284455,2203.193204546183,2227.4379222469893
2011-08-24,2049.216700830281,2174.270802472304,2503.6280102003616,2216.5498970599206,2218.8394223664945
2011-08-25,1093.5290882335821,2211.7858695135105,2510.8062125619117,2141.621420850669,1940.1356422593271
2011-08-26,980.9835392815155,1781.6209286869173,2519.4329956616084,2088.4152044850644,1956.0052992575525
2011-08-29,1650.99934062752,2094.949810584909,2510.5245649470885,2235.727074596994,2045.5569536902021
2011-08-30,2247.8276447855687,2093.480409481821,2509.482209936932,2347.6215983349516,2184.063140031236
2011-09-02,2437.1177306287022,2196.0861173415874,2479.5926575541903,2407.6681189340347,2205.799360275698
2011-09-05,2277.4526591232793,2169.4384683486637,2455.85893089733,2379.7447914139534,2275.1151851135373
2011-09-06,2283.187302665196,2179.983684102377,2470.3174546104497,2349.0453275175128,2394.570295107823
2011-09-07,2496.9550727783144,2105.55092642967,2508.467346737939,2471.552875787051,2501.7197819125217
2011-09-08,2510.461015168672,2009.1456320847901,2501.4266191234965,2495.6211886739534,2495.9317993197124
2011-09-09,2498.8523464682553,1937.4492592704976,2507.8203069862207,2515.411857862505,2430.362424022843
2011-09-12,2229.377567934112,976.7175426796642,2471.474537801147,2297.4308774482197,2142.3435794399666
2011-09-13,2304.9137573333223,1294.771914332151,2425.96604346523,2285.3621300160057,2148.5575924924697
2011-09-14,2372.732250852332,980.9338916813131,2304.611027987258,2241.55554275016,2185.178581142755
2011-09-15,2510.5731231314526,1880.8542837958203,2299.1753416422803,2303.850202718436,2289.7699804609542
2011-09-16,2502.095282645612,1699.8119488082812,2171.629960672735,2412.4966037975123,2419.8567261801136
2011-09-19,2510.364089925019,1235.6598377266826,2107.5137662833968,2290.9100833716307,2371.836620302771
2011-09-20,2505.8288574336043,1297.8033674781818,2174.4720227905036,2352.729178552429,2408.6895398675365
2011-09-21,2495.7078057657836,1528.395337428441,2214.6779527025396,2476.0395713959474,2487.048449735299
2011-09-22,2459.705081671162,986.5278629732774,2243.9305776259853,2335.113599158579,2426.2673742467437
2011-09-23,2005.898016701018,780.2252645084903,2277.555299330704,2249.21876233423,2257.3291099399667
2011-09-26,1043.740125966907,957.0827661998886,2172.628916246557,2251.6881853401474,2127.69217683162
2011-09-27,2072.5295962464384,985.1374546313572,2227.4610785338823,2434.563792957355,2226.3417073095598
